Type,Booking No.,Check-in,Check-out,First Name,Last Name,Specification,Room No.,Guests,Guest Name,Comment,Date,Units,Unit Price,Total,Reference,Status
ACCOMM,26043,7/16/2023,7/21/2023,,,Lake Room,31,2,,,,5,155,775,,
SURCHARGE,26043,7/16/2023,7/21/2023,,,Maine Hotel Tax,,,,,,1,69.75,69.75,,
ACCOMM,26062,8/6/2023,8/12/2023,,,Maine Room,22,4,,,,6,185,1110,,
SURCHARGE,26062,8/6/2023,8/12/2023,,,Maine Hotel Tax,,,,,,1,99.9,99.9,,
ACCOMM,26063,8/9/2023,8/12/2023,,,Lodge Room,24,4,,,,3,155,465,,
SURCHARGE,26063,8/9/2023,8/12/2023,,,Maine Hotel Tax,,,,,,1,41.85,41.85,,
ACCOMM,26064,8/9/2023,8/12/2023,,,Bird Room,21,2,,,,3,145,435,,
SURCHARGE,26064,8/9/2023,8/12/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26065,8/6/2023,8/13/2023,,,Black Bear Room,23,4,,,,7,185,1295,,
SURCHARGE,26065,8/6/2023,8/13/2023,,,Maine Hotel Tax,,,,,,1,116.55,116.55,,
ACCOMM,26066,8/9/2023,8/13/2023,,,Lake Room,31,2,,,,4,155,620,,
SURCHARGE,26066,8/9/2023,8/13/2023,,,Maine Hotel Tax,,,,,,1,55.8,55.8,,
ACCOMM,26067,8/9/2023,8/13/2023,,,Bunk,32,6,,,,4,225,900,,
SURCHARGE,26067,8/9/2023,8/13/2023,,,Maine Hotel Tax,,,,,,1,81,81,,
ACCOMM,26103,10/6/2023,10/9/2023,,,Maine Room,22,3,,,,3,145,435,,
ACCOMM,26103,10/6/2023,10/9/2023,,,Black Bear Room,23,2,,,,3,145,435,,
SURCHARGE,26103,10/6/2023,10/9/2023,,,Maine Hotel Tax,,,,,,1,78.3,78.3,,
ACCOMM,26119,8/17/2023,8/19/2023,,,Bird Room,21,2,,,,2,145,290,,
SURCHARGE,26119,8/17/2023,8/19/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26136,10/4/2023,10/5/2023,,,Lake Room,31,2,,,,1,155,155,,
EXTRAS,26136,10/4/2023,10/5/2023,,,Request Dinner Reservation,,,,,,1,0,0,,
SURCHARGE,26136,10/4/2023,10/5/2023,,,Maine Hotel Tax,,,,,,1,13.95,13.95,,
ACCOMM,26139,7/2/2023,7/7/2023,,,Maine Room,22,2,,,,5,145,725,,
SURCHARGE,26139,7/2/2023,7/7/2023,,,Maine Hotel Tax,,,,,,1,0,0,,
ACCOMM,26140,7/16/2023,7/22/2023,,,Black Bear Room,23,2,,,,6,145,870,,
SURCHARGE,26140,7/16/2023,7/22/2023,,,Maine Hotel Tax,,,,,,1,0,0,,
ACCOMM,26149,7/30/2023,8/5/2023,,,Lake Room,31,1,,,,6,155,930,,
SURCHARGE,26149,7/30/2023,8/5/2023,,,Maine Hotel Tax,,,,,,1,83.7,83.7,,
ACCOMM,26154,8/3/2023,8/6/2023,,,Bird Room,21,1,,,,3,145,435,,
EXTRAS,26154,8/3/2023,8/6/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26154,8/3/2023,8/6/2023,,,Maine Hotel Tax,,,,,,1,45,45,,
ACCOMM,26160,7/21/2023,7/22/2023,,,Bird Room,21,2,,,,1,145,145,,
SURCHARGE,26160,7/21/2023,7/22/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26161,8/31/2023,9/3/2023,,,Lodge Room,24,2,Byron (DJ),Denise Paying,,3,145,435,,
ACCOMM,26161,9/1/2023,9/3/2023,,,Bunk,32,5,BAND,Denise to pay,,2,245,490,,
SURCHARGE,26161,8/31/2023,9/3/2023,,,Maine Hotel Tax,,,,,,1,83.25,83.25,,
ACCOMM,26174,7/30/2023,8/6/2023,,,Lodge Room,24,1,,,,7,145,1015,,
SURCHARGE,26174,7/30/2023,8/6/2023,,,Maine Hotel Tax,,,,,,1,91.35,91.35,,
ACCOMM,26179,9/1/2023,9/3/2023,,,Lake Room,31,2,,,,2,155,310,,
SURCHARGE,26179,9/1/2023,9/3/2023,,,Maine Hotel Tax,,,,,,1,27.9,27.9,,
ACCOMM,26189,7/11/2023,7/14/2023,,,Black Bear Room,23,2,,,,3,145,435,,
SURCHARGE,26189,7/11/2023,7/14/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26191,6/30/2023,7/1/2023,,,Black Bear Room,23,2,,,,1,145,145,,
SURCHARGE,26191,6/30/2023,7/1/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26198,9/30/2023,10/1/2023,,,Black Bear Room,23,2,,,,1,145,145,,
ACCOMM,26198,9/30/2023,10/1/2023,,,Lodge Room,24,2,,,,1,145,145,,
SURCHARGE,26198,9/30/2023,10/1/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26200,7/28/2023,7/29/2023,,,Lodge Room,24,4,,,,1,185,185,,
ACCOMM,26200,7/28/2023,7/29/2023,,,Bunk,32,6,,,,1,225,225,,
SURCHARGE,26200,7/28/2023,7/29/2023,,,Maine Hotel Tax,,,,,,1,36.9,36.9,,
ACCOMM,26201,6/30/2023,7/2/2023,,,Bird Room,21,2,,,,2,145,290,,
EXTRAS,26201,6/30/2023,7/2/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26201,6/30/2023,7/2/2023,,,Maine Hotel Tax,,,,,,1,31.95,31.95,,
ACCOMM,26203,8/1/2023,8/2/2023,,,Maine Room,22,3,,,,1,165,165,,
ACCOMM,26203,8/1/2023,8/2/2023,,,Black Bear Room,23,4,,,,1,185,185,,
SURCHARGE,26203,8/1/2023,8/2/2023,,,Maine Hotel Tax,,,,,,1,31.5,31.5,,
ACCOMM,26209,7/31/2023,8/2/2023,,,Bird Room,21,3,,,,2,165,330,,
SURCHARGE,26209,7/31/2023,8/2/2023,,,Maine Hotel Tax,,,,,,1,29.7,29.7,,
ACCOMM,26215,9/1/2023,9/4/2023,,,Black Bear Room,23,2,,,,3,145,435,,
SURCHARGE,26215,9/1/2023,9/4/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26216,7/30/2023,8/4/2023,,,Bunk,32,3,,,,5,165,825,,
SURCHARGE,26216,7/30/2023,8/4/2023,,,Maine Hotel Tax,,,,,,1,74.25,74.25,,
ACCOMM,26219,8/2/2023,8/5/2023,,,Maine Room,22,1,,,,3,145,435,,
SURCHARGE,26219,8/2/2023,8/5/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26222,7/15/2023,7/16/2023,,,Bunk,32,3,,,,1,165,165,,
EXTRAS,26222,7/15/2023,7/16/2023,,,Request Dinner Reservation,,,,,,1,0,0,,
SURCHARGE,26222,7/15/2023,7/16/2023,,,Maine Hotel Tax,,,,,,1,14.85,14.85,,
ACCOMM,26225,7/21/2023,7/22/2023,,,Maine Room,22,1,,,,1,145,145,,
SURCHARGE,26225,7/21/2023,7/22/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26231,7/9/2023,7/10/2023,,,Lodge Room,24,3,,,,1,165,165,,
SURCHARGE,26231,7/9/2023,7/10/2023,,,Maine Hotel Tax,,,,,,1,14.85,14.85,,
ACCOMM,26233,7/18/2023,7/20/2023,,,Bird Room,21,2,,,,2,145,290,,
SURCHARGE,26233,7/18/2023,7/20/2023,,,Maine Hotel Tax,,,,,,1,26.1,26.1,,
ACCOMM,26234,9/1/2023,9/4/2023,,,Maine Room,22,2,,,,3,145,435,,
SURCHARGE,26234,9/1/2023,9/4/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26235,7/18/2023,7/21/2023,,,Maine Room,22,2,,,,3,145,435,,
SURCHARGE,26235,7/18/2023,7/21/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26237,6/30/2023,7/2/2023,,,Maine Room,22,2,,,,2,145,290,,
EXTRAS,26237,6/30/2023,7/2/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26237,6/30/2023,7/2/2023,,,Maine Hotel Tax,,,,,,1,31.95,31.95,,
ACCOMM,26238,7/16/2023,7/17/2023,,,Bunk,32,2,,,,1,145,145,,
SURCHARGE,26238,7/16/2023,7/17/2023,,,Maine Hotel Tax,,,,,,1,13.05,13.05,,
ACCOMM,26239,6/30/2023,7/1/2023,,,Bunk,32,5,,,,1,205,205,,
SURCHARGE,26239,6/30/2023,7/1/2023,,,Maine Hotel Tax,,,,,,1,18.45,18.45,,
ACCOMM,26241,8/16/2023,8/19/2023,,,Maine Room,22,2,,,,3,145,435,,
SURCHARGE,26241,8/16/2023,8/19/2023,,,Maine Hotel Tax,,,,,,1,39.15,39.15,,
ACCOMM,26242,7/1/2023,7/2/2023,,,Bunk,32,2,,,,1,145,145,,
EXTRAS,26242,7/1/2023,7/2/2023,,,Pet With Stay,,,,,,1,65,65,,
SURCHARGE,26242,7/1/2023,7/2/2023,,,Maine Hotel Tax,,,,,,1,18.9,18.9,,
ACCOMM,26243,6/30/2023,7/5/2023,,,Lodge Room,24,2,,,,5,145,725,,
SURCHARGE,26243,6/30/2023,7/5/2023,,,Maine Hotel Tax,,,,,,1,65.25,65.25,,
ACCOMM,26244,7/6/2023,7/7/2023,,,Bunk,32,4,,,,1,185,185,,
SURCHARGE,26244,7/6/2023,7/7/2023,,,Maine Hotel Tax,,,,,,1,16.65,16.65,,
ACCOMM,26245,7/7/2023,7/8/2023,,,Bunk,32,2,,,,1,145,145,,
